label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_404
,0.00053,1.72563,1.74854,6427672641,1,189,2.30610,9387,9576,0.00100,2.21600,2.99200,4.35200,6.20000,9.24000,17.23200,9387,189
Student by Id,0.00071,0.86903,0.87050,402420,4,0,1.62090,2118,2118,0.00100,0.03600,2.68200,4.09000,6.05200,7.94800,8.35200,2118,
Student Delete 22,0.00159,0.02470,0.02483,53487,1,189,0.06635,0,189,0.00200,0.00600,0.05200,0.14100,0.48600,0.50700,0.50700,,189
Create Student,0.00062,1.53316,1.53417,609030,7,0,2.21315,3030,3030,0.00100,0.94300,2.90600,4.40000,6.35600,9.52000,17.23200,3030,
Student List,0.00034,2.36703,2.41734,6426607704,1,0,2.68285,4239,4239,0.09000,2.65400,3.06200,4.48800,6.27200,9.24000,13.44800,4239,
