label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
,0.00034,0.27802,0.34177,4408390884,1,0,0.35230,1788,1788,0.07000,0.34000,0.45300,0.48900,0.55500,0.64400,0.65600,1788
Student List,0.00034,0.27802,0.34177,4408390884,1,0,0.35230,1788,1788,0.07000,0.34000,0.45300,0.48900,0.55500,0.64400,0.65600,1788
